roll_no,gender,programme,level,specialisation,ssc_p,hsc_p,degree_p,backlogs,internships,projects,certifications,coding_score,communication_score,workex,status,salary_lpa
22CS227,Male,M.Sc CS,PG,Cloud & DevOps,69.28,61.55,67.83,1,0,2,2,57,8.4,No,Not Placed,
22CS228,Female,B.Sc CS,UG,Full Stack,90.77,82.28,73.65,1,0,3,2,59,8.1,Yes,Placed,4.49
22CS229,Female,BCA,UG,Cyber Security,70.57,72.69,67.62,0,0,3,2,79,10.0,No,Placed,6.55
22CS230,Male,MCA,PG,Full Stack,80.62,75.12,73.22,0,2,4,2,63,3.9,No,Not Placed,
22CS231,Male,MCA,PG,Full Stack,57.29,53.91,61.04,0,2,6,2,73,8.4,Yes,Placed,6.07
22CS232,Male,MCA,PG,Cyber Security,94.62,82.68,70.19,0,0,1,2,71,6.6,No,Placed,6.06
22CS233,Female,B.Sc CS,UG,Full Stack,82.03,75.75,72.73,1,0,2,2,62,7.7,No,Not Placed,
22CS234,Female,BCA,UG,Cloud & DevOps,74.18,72.4,71.49,0,1,2,2,72,3.4,Yes,Placed,5.6
22CS235,Female,B.Sc CS,UG,Full Stack,81.76,74.32,71.73,1,1,3,2,70,8.8,No,Placed,6.21
22CS236,Female,B.Sc CS,UG,Cyber Security,61.9,64.05,63.18,2,1,3,2,74,7.4,No,Not Placed,
22CS237,Male,M.Sc CS,PG,Full Stack,87.83,80.49,74.14,1,2,4,2,60,6.3,No,Not Placed,
22CS238,Female,M.Sc CS,PG,Full Stack,72.76,74.81,72.18,3,2,4,2,67,7.4,No,Placed,5.94
22CS239,Male,M.Sc CS,PG,Full Stack,73.96,71.43,71.22,1,1,0,2,65,4.9,No,Not Placed,
22CS240,Male,MCA,PG,AI & Data Science,71.08,69.28,71.99,1,1,3,2,76,5.2,Yes,Not Placed,
22CS241,Female,M.Sc CS,PG,AI & Data Science,70.19,71.51,75.23,1,1,3,2,54,5.4,No,Placed,5.3
22CS242,Female,MCA,PG,Cyber Security,82.95,67.65,67.41,0,1,3,2,77,3.0,No,Placed,4.98
22CS243,Male,B.Sc CS,UG,Cyber Security,78.56,78.18,73.09,0,2,1,2,73,7.8,No,Not Placed,
22CS244,Female,B.Sc CS,UG,Cyber Security,82.52,77.78,76.42,0,0,2,2,51,8.4,No,Placed,5.11
22CS245,Female,M.Sc CS,PG,AI & Data Science,75.91,74.37,75.06,0,2,3,2,85,5.1,Yes,Not Placed,
22CS246,Female,MCA,PG,Full Stack,81.13,82.21,75.59,0,2,5,2,100,7.0,No,Placed,7.03
22CS247,Female,B.Sc CS,UG,AI & Data Science,71.81,61.35,67.97,1,2,4,2,77,5.6,Yes,Placed,6.01
22CS248,Male,BCA,UG,Cyber Security,98.3,75.8,77.4,0,1,4,2,90,6.9,Yes,Placed,5.92
22CS249,Male,M.Sc CS,PG,Cloud & DevOps,60.32,67.05,73.4,0,1,3,2,68,5.1,No,Not Placed,
22CS250,Male,B.Sc CS,UG,AI & Data Science,88.61,81.1,83.77,0,2,2,2,52,4.9,No,Not Placed,
22CS251,Female,BCA,UG,Cyber Security,89.68,82.64,74.12,1,2,3,2,42,8.2,No,Placed,5.44
22CS252,Female,MCA,PG,AI & Data Science,67.48,67.02,68.27,0,1,1,2,67,6.0,No,Placed,5.84
22CS253,Male,M.Sc CS,PG,AI & Data Science,98.29,90.05,82.07,0,2,1,2,65,10.0,No,Placed,7.26
22CS254,Male,B.Sc CS,UG,AI & Data Science,85.95,84.71,78.43,0,1,2,2,58,6.6,No,Placed,4.91
22CS255,Male,MCA,PG,AI & Data Science,85.71,82.15,74.7,0,1,2,2,67,4.9,No,Placed,5.86
22CS256,Female,B.Sc CS,UG,Cyber Security,76.28,72.95,65.83,1,2,2,2,70,8.3,No,Not Placed,
22CS257,Female,MCA,PG,Cloud & DevOps,73.83,61.62,65.34,0,1,3,2,41,7.1,No,Not Placed,
22CS258,Male,B.Sc CS,UG,AI & Data Science,73.91,77.2,71.25,1,1,2,2,59,7.6,No,Not Placed,
22CS259,Male,BCA,UG,Full Stack,79.91,82.95,78.11,2,3,5,2,92,8.5,Yes,Placed,6.97
22CS260,Female,BCA,UG,Cyber Security,90.01,85.39,76.06,0,2,2,2,54,5.4,Yes,Placed,4.22
22CS261,Male,B.Sc CS,UG,Cloud & DevOps,77.81,70.45,65.87,0,2,4,2,74,6.0,No,Not Placed,
22CS262,Female,MCA,PG,Full Stack,66.89,72.83,72.63,1,1,4,2,60,6.0,No,Placed,5.1
22CS263,Male,B.Sc CS,UG,AI & Data Science,84.24,83.38,78.63,0,3,2,2,79,4.3,No,Placed,6.17
22CS264,Male,B.Sc CS,UG,Cyber Security,85.21,87.68,82.93,0,0,3,2,90,6.1,Yes,Placed,5.36
22CS265,Female,B.Sc CS,UG,Full Stack,82.55,73.07,80.59,0,1,2,2,83,8.5,No,Placed,5.83
22CS266,Male,M.Sc CS,PG,Cloud & DevOps,83.45,77.08,75.36,1,1,3,2,81,6.7,No,Not Placed,
22CS267,Male,MCA,PG,Full Stack,73.29,76.75,75.99,0,2,1,2,53,4.0,No,Placed,5.38
22CS268,Male,MCA,PG,Cyber Security,66.71,69.4,65.33,1,2,3,2,77,3.5,No,Not Placed,
22CS269,Male,B.Sc CS,UG,AI & Data Science,67.32,63.39,60.89,1,2,3,2,46,8.9,No,Not Placed,
22CS270,Male,BCA,UG,Full Stack,59.65,67.44,74.8,1,1,2,2,72,6.0,No,Placed,5.22
22CS271,Male,B.Sc CS,UG,Cloud & DevOps,78.37,78.63,71.48,0,1,3,2,69,5.3,Yes,Not Placed,
22CS272,Male,BCA,UG,Full Stack,75.17,74.22,68.35,0,1,3,2,70,5.8,No,Placed,5.36
22CS273,Male,MCA,PG,Full Stack,71.6,72.97,71.62,0,1,3,2,70,3.7,Yes,Placed,5.13
22CS274,Female,M.Sc CS,PG,Cloud & DevOps,46.44,56.55,61.57,1,0,1,2,46,8.4,No,Not Placed,
22CS275,Female,BCA,UG,Cloud & DevOps,63.53,75.32,69.58,0,1,3,2,45,5.6,No,Not Placed,
22CS276,Male,BCA,UG,Full Stack,87.21,75.5,72.08,1,2,2,2,78,8.6,No,Placed,6.03
22CS277,Male,MCA,PG,Full Stack,69.35,67.37,73.34,0,2,1,2,70,6.2,Yes,Placed,5.47
22CS278,Female,BCA,UG,Full Stack,79.61,76.24,70.52,0,2,4,2,81,8.8,No,Placed,6.37
22CS279,Female,B.Sc CS,UG,Cyber Security,62.09,71.3,65.2,1,1,1,2,60,6.7,Yes,Placed,4.96
22CS280,Female,BCA,UG,Full Stack,90.39,74.03,76.19,1,1,0,2,49,7.7,No,Not Placed,
22CS281,Male,B.Sc CS,UG,AI & Data Science,74.56,66.33,69.77,1,0,0,2,78,7.3,No,Not Placed,
22CS282,Male,B.Sc CS,UG,Cloud & DevOps,78.9,64.79,64.39,1,1,2,2,55,7.2,No,Not Placed,
22CS283,Male,B.Sc CS,UG,Cloud & DevOps,99.0,87.03,73.89,0,1,2,2,72,7.1,No,Placed,5.41
22CS284,Male,BCA,UG,Cloud & DevOps,91.16,76.5,70.92,0,1,2,2,56,5.9,No,Placed,4.28
22CS285,Female,M.Sc CS,PG,Cloud & DevOps,72.93,70.44,70.04,0,0,1,2,88,9.5,No,Placed,6.38
22CS286,Male,B.Sc CS,UG,Cyber Security,70.07,74.51,77.37,0,2,2,2,58,4.7,No,Not Placed,
22CS287,Male,BCA,UG,Cyber Security,72.74,68.95,65.22,1,1,3,2,56,6.2,No,Placed,4.24
22CS288,Male,MCA,PG,Cyber Security,81.1,78.25,74.61,0,1,2,2,69,6.4,Yes,Placed,5.9
22CS289,Female,M.Sc CS,PG,Full Stack,74.95,72.0,73.9,0,1,1,2,52,6.9,No,Placed,4.85
22CS290,Male,BCA,UG,Full Stack,72.05,75.66,63.87,1,1,3,2,65,5.6,Yes,Not Placed,
22CS291,Female,B.Sc CS,UG,AI & Data Science,90.67,84.84,83.04,0,1,6,2,97,7.0,No,Placed,6.63
22CS292,Male,MCA,PG,Cyber Security,74.86,69.84,65.17,1,1,3,2,54,5.9,Yes,Placed,4.71
22CS293,Female,B.Sc CS,UG,AI & Data Science,99.0,85.94,80.89,0,1,4,2,78,3.8,Yes,Placed,5.73
22CS294,Male,B.Sc CS,UG,AI & Data Science,76.91,80.34,77.19,0,0,2,2,31,6.4,No,Not Placed,
22CS295,Female,MCA,PG,Full Stack,93.85,86.14,84.02,0,2,4,2,74,4.7,Yes,Placed,5.77
22CS296,Female,BCA,UG,Full Stack,79.57,68.62,71.38,0,0,3,2,61,3.2,No,Not Placed,
22CS297,Female,M.Sc CS,PG,AI & Data Science,85.63,83.04,68.31,0,1,0,2,52,6.7,No,Not Placed,
22CS298,Female,BCA,UG,Cyber Security,68.75,64.36,63.48,1,0,4,2,75,6.9,Yes,Placed,5.5
22CS299,Female,M.Sc CS,PG,Cloud & DevOps,67.46,77.13,74.83,0,1,5,2,64,7.2,Yes,Placed,5.06
22CS300,Female,B.Sc CS,UG,AI & Data Science,80.6,82.26,76.58,0,1,2,2,67,7.4,No,Placed,5.97
22CS301,Female,B.Sc CS,UG,AI & Data Science,85.89,81.2,78.63,0,2,2,2,66,3.1,Yes,Placed,5.96
22CS302,Male,B.Sc CS,UG,Full Stack,76.4,75.27,76.32,0,1,3,2,42,4.0,Yes,Not Placed,
22CS303,Female,B.Sc CS,UG,Cyber Security,63.14,66.0,70.03,1,1,1,2,49,9.5,Yes,Placed,5.13
22CS304,Female,MCA,PG,Cloud & DevOps,62.4,70.38,69.37,0,1,3,2,77,4.4,No,Not Placed,
22CS305,Female,B.Sc CS,UG,AI & Data Science,61.73,64.35,59.22,1,0,2,2,27,7.1,No,Placed,3.73
22CS306,Male,BCA,UG,Cyber Security,58.32,65.75,65.63,0,1,0,2,50,4.9,Yes,Not Placed,
22CS307,Male,M.Sc CS,PG,AI & Data Science,77.09,79.51,77.37,0,1,3,2,64,6.5,No,Placed,6.08
22CS308,Female,M.Sc CS,PG,Full Stack,87.25,77.35,70.05,2,1,3,2,89,5.3,No,Placed,5.83
22CS309,Male,BCA,UG,Cloud & DevOps,75.87,70.8,73.0,1,3,4,2,78,7.2,Yes,Placed,6.54
22CS310,Male,BCA,UG,AI & Data Science,53.4,55.32,64.82,1,2,4,2,53,6.1,No,Placed,6.54
22CS311,Male,MCA,PG,AI & Data Science,74.09,67.4,68.95,1,3,4,2,82,5.4,No,Placed,6.95
22CS312,Male,M.Sc CS,PG,Full Stack,74.37,63.43,53.8,2,0,2,2,42,4.3,No,Not Placed,
22CS313,Male,MCA,PG,Full Stack,96.96,89.67,76.69,1,2,2,2,84,7.0,No,Not Placed,
22CS314,Male,MCA,PG,Cloud & DevOps,61.43,75.95,81.12,0,1,1,2,54,4.3,No,Not Placed,
22CS315,Male,M.Sc CS,PG,Cloud & DevOps,72.09,79.75,73.66,1,1,2,2,82,7.1,Yes,Placed,6.12
22CS316,Male,B.Sc CS,UG,AI & Data Science,93.06,74.8,64.94,2,3,1,2,55,10.0,No,Not Placed,
22CS317,Male,BCA,UG,AI & Data Science,80.5,80.59,81.29,0,2,2,2,59,8.7,No,Placed,5.98
22CS318,Female,B.Sc CS,UG,Cyber Security,81.63,84.98,79.04,0,2,1,2,68,7.7,No,Placed,5.98
22CS319,Male,M.Sc CS,PG,AI & Data Science,77.15,72.36,75.84,0,2,3,2,73,6.1,Yes,Placed,6.42
22CS320,Female,MCA,PG,Cloud & DevOps,79.3,76.56,75.05,0,0,4,2,61,3.0,No,Not Placed,
22CS321,Female,BCA,UG,Cyber Security,83.78,67.63,70.41,0,2,4,2,73,3.9,Yes,Placed,4.92
22CS322,Female,BCA,UG,AI & Data Science,67.91,71.19,72.16,0,1,5,2,58,8.4,No,Placed,5.45
22CS323,Male,B.Sc CS,UG,Cloud & DevOps,84.78,73.29,74.76,1,2,4,2,77,4.9,No,Not Placed,
22CS324,Female,MCA,PG,AI & Data Science,62.27,67.73,77.75,0,2,4,2,77,5.0,No,Placed,6.35
22CS325,Female,B.Sc CS,UG,Full Stack,79.28,67.58,72.43,1,0,3,2,65,5.9,Yes,Placed,4.78
22CS326,Female,B.Sc CS,UG,Full Stack,77.79,78.11,68.55,0,0,4,2,57,4.6,No,Not Placed,
22CS327,Female,B.Sc CS,UG,Full Stack,69.84,76.34,75.59,0,0,3,2,71,4.2,Yes,Placed,4.17
22CS328,Female,B.Sc CS,UG,Cyber Security,75.77,69.85,74.47,0,1,4,2,76,6.1,Yes,Placed,5.26
22CS329,Female,BCA,UG,Cyber Security,69.77,64.64,71.59,1,0,4,2,95,4.6,No,Placed,5.92
22CS330,Male,BCA,UG,Cloud & DevOps,65.28,56.66,60.29,1,1,3,2,70,4.7,No,Not Placed,
22CS331,Female,B.Sc CS,UG,Cloud & DevOps,72.46,70.82,75.15,1,1,2,2,82,4.9,No,Not Placed,
22CS332,Male,B.Sc CS,UG,Full Stack,64.96,64.99,70.7,0,2,5,2,100,7.0,No,Placed,6.84
22CS333,Female,B.Sc CS,UG,AI & Data Science,79.23,67.6,78.85,0,1,4,2,78,5.8,Yes,Placed,6.12
22CS334,Female,BCA,UG,Cyber Security,64.5,70.32,67.19,2,1,5,2,69,5.9,Yes,Not Placed,
22CS335,Male,B.Sc CS,UG,Cloud & DevOps,83.12,75.69,71.38,0,0,3,2,75,7.3,No,Placed,5.37
22CS336,Female,M.Sc CS,PG,Full Stack,64.19,61.89,63.91,0,2,1,2,46,5.8,No,Not Placed,
22CS337,Male,B.Sc CS,UG,Full Stack,70.34,68.09,66.89,0,0,2,2,56,5.7,No,Not Placed,
22CS338,Female,B.Sc CS,UG,Full Stack,69.75,76.55,70.37,0,0,2,2,58,7.1,Yes,Placed,4.27
22CS339,Male,BCA,UG,AI & Data Science,89.25,84.74,67.8,1,0,3,2,72,7.6,No,Not Placed,
22CS340,Female,BCA,UG,Cyber Security,79.3,75.31,71.45,1,2,4,2,63,6.1,No,Not Placed,
22CS341,Male,B.Sc CS,UG,Full Stack,73.88,76.38,75.3,0,0,5,2,70,6.5,Yes,Placed,4.59
22CS342,Female,B.Sc CS,UG,Cyber Security,80.99,70.67,68.43,0,1,3,2,79,4.9,Yes,Placed,5.49
22CS343,Female,MCA,PG,Cloud & DevOps,54.93,62.79,73.41,0,2,2,2,79,4.6,No,Placed,5.87
22CS344,Female,B.Sc CS,UG,Cloud & DevOps,75.57,74.76,72.91,3,2,2,2,64,7.6,No,Placed,5.51
22CS345,Female,BCA,UG,Full Stack,95.98,82.65,82.75,0,1,4,2,65,7.2,No,Placed,4.72
22CS346,Female,BCA,UG,Full Stack,77.32,77.28,75.41,0,0,4,2,84,7.1,No,Placed,6.72
22CS347,Female,B.Sc CS,UG,Cyber Security,76.68,70.36,73.52,1,1,5,2,78,6.7,No,Placed,5.33
22CS348,Male,BCA,UG,Cyber Security,81.48,79.97,77.1,0,0,4,2,47,6.5,Yes,Placed,5.11
22CS349,Female,M.Sc CS,PG,Full Stack,84.96,82.11,82.74,0,2,4,2,70,7.6,No,Placed,5.77
22CS350,Male,MCA,PG,Cloud & DevOps,56.03,47.46,56.7,0,1,2,2,57,7.3,Yes,Placed,4.99
22CS351,Female,B.Sc CS,UG,AI & Data Science,59.18,71.37,72.81,0,1,2,2,78,7.8,No,Placed,6.0
22CS352,Male,B.Sc CS,UG,Cloud & DevOps,78.1,58.9,64.8,3,0,3,2,73,5.8,Yes,Placed,4.97
22CS353,Female,B.Sc CS,UG,AI & Data Science,68.85,66.94,67.01,1,1,2,2,66,8.5,No,Not Placed,
22CS354,Female,BCA,UG,AI & Data Science,89.12,86.95,81.79,0,0,4,2,82,6.9,No,Placed,5.8
22CS355,Male,M.Sc CS,PG,Full Stack,72.85,70.75,79.39,0,2,2,2,72,7.3,No,Placed,5.79
22CS356,Female,B.Sc CS,UG,AI & Data Science,56.65,55.64,60.3,0,0,2,2,48,6.4,No,Placed,4.87
22CS357,Female,B.Sc CS,UG,AI & Data Science,63.32,61.32,66.47,1,3,2,2,58,6.4,No,Placed,6.14
22CS358,Female,MCA,PG,AI & Data Science,48.5,64.62,71.8,0,2,3,2,66,4.8,No,Placed,6.83
22CS359,Female,B.Sc CS,UG,Full Stack,73.66,62.54,70.08,1,0,2,2,64,7.2,No,Not Placed,
22CS360,Female,BCA,UG,Cyber Security,74.12,79.26,75.6,1,0,4,2,42,10.0,No,Placed,4.6
22CS361,Female,M.Sc CS,PG,AI & Data Science,71.76,71.57,61.41,3,1,3,2,52,5.6,No,Not Placed,
22CS362,Male,B.Sc CS,UG,Cyber Security,86.79,73.69,74.28,1,0,4,2,68,6.4,No,Not Placed,
22CS363,Male,B.Sc CS,UG,Cloud & DevOps,87.99,77.64,65.71,0,0,1,2,57,5.6,No,Not Placed,
22CS364,Male,B.Sc CS,UG,AI & Data Science,74.3,67.77,74.54,0,2,3,2,64,5.3,No,Placed,5.73
22CS365,Female,MCA,PG,AI & Data Science,54.65,67.14,68.96,1,1,4,2,71,8.8,No,Placed,7.09
22CS366,Male,B.Sc CS,UG,Cloud & DevOps,82.17,81.55,80.93,0,0,2,2,58,5.3,No,Not Placed,
22CS367,Female,B.Sc CS,UG,Cloud & DevOps,81.55,67.97,65.17,0,1,1,2,38,5.4,Yes,Not Placed,
22CS368,Female,B.Sc CS,UG,Full Stack,79.09,73.72,66.02,1,0,2,2,57,3.6,Yes,Placed,4.12
22CS369,Male,B.Sc CS,UG,Cyber Security,85.81,74.94,74.01,0,3,4,2,78,5.0,No,Not Placed,
22CS370,Female,M.Sc CS,PG,AI & Data Science,64.35,74.78,72.73,2,0,4,2,90,3.4,Yes,Not Placed,
22CS371,Female,B.Sc CS,UG,Full Stack,96.09,77.96,72.81,0,2,4,2,78,7.4,No,Placed,5.82
22CS372,Male,BCA,UG,Cyber Security,66.41,77.59,74.89,0,2,1,2,48,10.0,No,Placed,5.22
22CS373,Male,BCA,UG,AI & Data Science,83.49,78.14,85.95,0,0,3,2,73,5.7,Yes,Placed,6.3
22CS374,Male,MCA,PG,Cyber Security,59.13,58.65,66.53,1,0,1,2,65,3.1,No,Not Placed,
22CS375,Male,B.Sc CS,UG,Full Stack,66.7,65.43,71.45,1,1,2,2,68,7.6,Yes,Placed,5.4
22CS376,Male,MCA,PG,Cyber Security,91.16,78.21,78.3,1,2,2,2,78,5.1,No,Placed,5.77
22CS377,Female,M.Sc CS,PG,Full Stack,73.39,65.88,73.45,0,1,1,2,54,8.3,No,Not Placed,
22CS378,Male,B.Sc CS,UG,Full Stack,84.4,79.33,74.84,1,2,2,2,69,5.9,Yes,Not Placed,
22CS379,Male,M.Sc CS,PG,AI & Data Science,78.37,68.87,61.1,2,2,2,2,64,5.1,Yes,Not Placed,
22CS380,Female,MCA,PG,AI & Data Science,74.95,61.85,64.35,0,2,0,2,72,5.7,No,Placed,6.26
22CS381,Female,B.Sc CS,UG,Cyber Security,89.64,79.65,79.04,0,1,2,2,60,7.7,No,Placed,4.98
22CS382,Female,MCA,PG,AI & Data Science,73.63,63.16,62.02,0,1,0,2,54,5.7,Yes,Not Placed,
22CS383,Female,BCA,UG,AI & Data Science,58.19,60.34,63.5,3,2,1,2,22,5.2,No,Not Placed,
22CS384,Male,M.Sc CS,PG,AI & Data Science,67.97,64.87,64.16,2,0,5,2,51,5.8,Yes,Not Placed,
22CS385,Male,MCA,PG,AI & Data Science,81.51,72.53,77.52,0,2,4,2,63,4.1,No,Placed,6.29
22CS386,Female,BCA,UG,Cloud & DevOps,79.96,87.18,83.31,0,0,2,2,60,7.2,Yes,Placed,4.35
22CS387,Female,MCA,PG,Full Stack,60.33,65.89,70.14,0,0,2,2,67,3.1,No,Placed,4.11
22CS388,Female,B.Sc CS,UG,Cloud & DevOps,68.76,71.54,73.41,1,2,3,2,66,5.5,Yes,Placed,4.97
22CS389,Male,M.Sc CS,PG,AI & Data Science,70.18,61.41,64.7,1,1,3,2,29,7.3,No,Not Placed,
22CS390,Female,M.Sc CS,PG,Cyber Security,72.35,68.66,69.99,0,0,4,2,68,6.7,No,Placed,6.29
22CS391,Female,B.Sc CS,UG,Full Stack,62.24,67.8,63.94,0,0,1,2,47,7.2,Yes,Not Placed,
22CS392,Male,BCA,UG,Full Stack,69.72,65.21,58.38,2,1,1,2,63,6.0,No,Placed,5.16
22CS393,Female,B.Sc CS,UG,Cloud & DevOps,68.71,75.1,73.66,1,2,2,2,49,8.3,Yes,Placed,4.96
22CS394,Female,B.Sc CS,UG,Cloud & DevOps,83.72,71.95,72.47,0,0,4,2,67,7.8,No,Placed,4.96
22CS395,Male,B.Sc CS,UG,Cloud & DevOps,84.09,77.1,79.1,0,0,4,2,67,7.1,No,Placed,4.59
22CS396,Male,B.Sc CS,UG,AI & Data Science,74.54,70.23,76.43,1,1,1,2,74,7.8,No,Placed,6.52
22CS397,Female,B.Sc CS,UG,AI & Data Science,72.08,72.93,78.04,0,3,3,2,72,7.5,Yes,Placed,6.85
22CS398,Male,B.Sc CS,UG,Cyber Security,77.4,71.51,66.91,0,1,1,2,59,5.5,Yes,Placed,5.08
22CS399,Male,M.Sc CS,PG,AI & Data Science,67.83,68.25,67.54,0,3,3,2,41,3.9,Yes,Not Placed,
22CS400,Male,M.Sc CS,PG,Cyber Security,64.53,66.62,69.89,1,2,4,2,44,6.8,No,Not Placed,
